Região metropolitana;População residente;População em área urbana;População em área não urbanizada;População em área isolada;Área rural;Aglomerado urbano;Povoado;Núcleo;Outros aglomerados;Código unidade
Mulheres;10637;7263;;;1372;742;1260;;;2504603
Cruz do Espírito Santo;16257;4049;;3391;6306;;2511;;;2504900
Homens;8093;1952;;1662;3225;;1254;;;2504900
Mulheres;8164;2097;;1729;3081;;1257;;;2504900
João Pessoa;723515;720785;;;1655;1075;;;;2507507
Homens;337783;336409;;;844;530;;;;2507507
Mulheres;385732;384376;;;811;545;;;;2507507
Lucena;11730;10152;;;1578;;;;;2508604
Homens;5832;4989;;;843;;;;;2508604
Mulheres;5898;5163;;;735;;;;;2508604
Mamanguape;42303;34234;;;5449;367;2068;;185;2508901
Homens;20790;16620;;;2831;176;1063;;100;2508901
Mulheres;21513;17614;;;2618;191;1005;;85;2508901
Pedras de Fogo;27032;16358;;;9513;;1161;;;2511202
Homens;13467;7968;;;4916;;583;;;2511202
Mulheres;13565;8390;;;4597;;578;;;2511202
Pitimbu;17024;10384;;;2598;;1870;;2172;2511905
Homens;8609;5159;;;1370;;947;;1133;2511905
Mulheres;8415;5225;;;1228;;923;;1039;2511905
Rio Tinto;22976;13057;;;5477;;4442;;;2512903
Homens;11310;6240;;;2807;;2263;;;2512903
Mulheres;11666;6817;;;2670;;2179;;;2512903
Santa Rita;120310;103717;;;5519;;11074;;;2513703
Homens;58119;49703;;;2820;;5596;;;2513703
Mulheres;62191;54014;;;2699;;5478;;;2513703
Recife  PE;3690547;3559616;21563;7997;64169;13840;16503;1731;5128;3
Homens;1736703;1668076;10533;4069;35325;6858;8181;873;2788;3
Mulheres;1953844;1891540;11030;3928;28844;6982;8322;858;2340;3
Abreu e Lima;94429;86625;;;4554;;3066;;184;2600054
Homens;45125;41238;;;2299;;1488;;100;2600054
Mulheres;49304;45387;;;2255;;1578;;84;2600054
Araçoiaba;18156;15268;;;951;1307;630;;;2601052
Homens;9027;7498;;;539;658;332;;;2601052
Mulheres;9129;7770;;;412;649;298;;;2601052
Cabo de Santo Agostinho;185025;164159;3624;;11354;3127;1927;471;363;2602902
Homens;90859;80111;1806;;5995;1555;959;246;187;2602902
Mulheres;94166;84048;1818;;5359;1572;968;225;176;2602902
Camaragibe;144466;140834;3632;;;;;;;2603454
Homens;69212;67402;1810;;;;;;;2603454
Mulheres;75254;73432;1822;;;;;;;2603454
Igarassu;102021;93931;;;5633;830;503;;1124;2606804
Homens;49316;45182;;;2855;413;260;;606;2606804
Mulheres;52705;48749;;;2778;417;243;;518;2606804
Ilha de Itamaracá;21884;16993;;;3763;1128;;;;2607604
Homens;12564;8306;;;3670;588;;;;2607604
Mulheres;9320;8687;;;93;540;;;;2607604
Ipojuca;80637;52441;;7278;13579;;5223;1260;856;2607208
Homens;39890;25451;;3686;7070;;2572;627;484;2607208
Mulheres;40747;26990;;3592;6509;;2651;633;372;2607208
Itapissuma;23769;18320;;;1228;;4221;;;2607752
Homens;12007;8827;;;1092;;2088;;;2607752
Mulheres;11762;9493;;;136;;2133;;;2607752
Jaboatão dos Guararapes;644620;629110;1485;;6577;7448;;;;2607901
Homens;304850;297200;703;;3303;3644;;;;2607901
Mulheres;339770;331910;782;;3274;3804;;;;2607901
Moreno;56696;48998;480;719;4940;;;;1559;2609402
Homens;27664;23581;238;383;2645;;;;817;2609402
Mulheres;29032;25417;242;336;2295;;;;742;2609402
Olinda;377779;370332;;;7447;;;;;2609600
Homens;174724;171066;;;3658;;;;;2609600
Mulheres;203055;199266;;;3789;;;;;2609600
Paulista;300466;288124;12342;;;;;;;2610707
Homens;141630;135654;5976;;;;;;;2610707
Mulheres;158836;152470;6366;;;;;;;2610707
Recife;1537704;1537704;;;;;;;;2611606
Homens;709819;709819;;;;;;;;2611606
Mulheres;827885;827885;;;;;;;;2611606
São Lourenço da Mata;102895;96777;;;4143;;933;;1042;2613701
Homens;50016;46741;;;2199;;482;;594;2613701
Mulheres;52879;50036;;;1944;;451;;448;2613701
Agreste  AL;601049;319566;;11882;186913;7596;72940;;2152;2702
Homens;291903;151195;;5778;93768;3673;36438;;1051;2702
Mulheres;309146;168371;;6104;93145;3923;36502;;1101;2702
Arapiraca;214006;171612;;9869;19748;4472;8065;;240;2700300
Homens;101884;80897;;4785;9934;2149;4004;;115;2700300
Mulheres;112122;90715;;5084;9814;2323;4061;;125;2700300
Belém;4551;1872;;;1925;471;283;;;2700805
Homens;2222;887;;;954;236;145;;;2700805
Mulheres;2329;985;;;971;235;138;;;2700805
Campo Grande;9032;4185;;;4604;;243;;;2701506
Homens;4437;1989;;;2320;;128;;;2701506
Mulheres;4595;2196;;;2284;;115;;;2701506
Coité do Nóia;10926;3737;;;6287;;902;;;2702009
Homens;5422;1790;;;3170;;462;;;2702009
Mulheres;5504;1947;;;3117;;440;;;2702009
Craíbas;22641;7328;;;11378;;3935;;;2702355
Homens;11157;3544;;;5700;;1913;;;2702355
Mulheres;11484;3784;;;5678;;2022;;;2702355
Estrela de Alagoas;17251;4029;;;12096;;1126;;;2702553
Homens;8404;1918;;;5944;;542;;;2702553
Mulheres;8847;2111;;;6152;;584;;;2702553
