Região metropolitana;População residente;População em área urbana;População em área não urbanizada;População em área isolada;Área rural;Aglomerado urbano;Povoado;Núcleo;Outros aglomerados;Código unidade
Monte Castelo;8346;4849;;;3497;;;;;4211108
Homens;4283;2430;;;1853;;;;;4211108
Mulheres;4063;2419;;;1644;;;;;4211108
Papanduva;17928;9184;;;7504;1240;;;;4212205
Homens;9172;4547;;;3996;629;;;;4212205
Mulheres;8756;4637;;;3508;611;;;;4212205
Rio Negrinho;39846;33535;2498;315;3498;;;;;4215000
Homens;19977;16736;1260;161;1820;;;;;4215000
Mulheres;19869;16799;1238;154;1678;;;;;4215000
São Bento do Sul;74801;49339;21895;;3567;;;;;4215802
Homens;37239;24290;11083;;1866;;;;;4215802
Mulheres;37562;25049;10812;;1701;;;;;4215802
São Francisco do Sul;42520;21403;18087;;2947;;;;83;4216206
Homens;21182;10469;9116;;1557;;;;40;4216206
Mulheres;21338;10934;8971;;1390;;;;43;4216206
São João do Itaperiú;3435;884;515;526;1510;;;;;4216354
Homens;1790;456;279;278;777;;;;;4216354
Mulheres;1645;428;236;248;733;;;;;4216354
Schroeder;15316;2999;10704;;1613;;;;;4217402
Homens;7801;1503;5448;;850;;;;;4217402
Mulheres;7515;1496;5256;;763;;;;;4217402
Tubarão  SC;356721;267904;6012;6488;67339;2126;6852;;;26
Homens;176367;130952;2987;3260;34628;1076;3464;;;26
Mulheres;180354;136952;3025;3228;32711;1050;3388;;;26
Armazém;7753;4884;;;2869;;;;;4201505
Homens;3924;2412;;;1512;;;;;4201505
Mulheres;3829;2472;;;1357;;;;;4201505
Braço do Norte;29018;23383;;;5635;;;;;4202800
Homens;14533;11609;;;2924;;;;;4202800
Mulheres;14485;11774;;;2711;;;;;4202800
Capivari de Baixo;21674;19816;;;1281;;577;;;4203956
Homens;10499;9578;;;633;;288;;;4203956
Mulheres;11175;10238;;;648;;289;;;4203956
Grão Pará;6223;2942;;77;3204;;;;;4206108
Homens;3235;1468;;41;1726;;;;;4206108
Mulheres;2988;1474;;36;1478;;;;;4206108
Gravatal;10635;4443;;;5357;;835;;;4206207
Homens;5286;2160;;;2714;;412;;;4206207
Mulheres;5349;2283;;;2643;;423;;;4206207
Imaruí;11672;4005;;;7667;;;;;4207205
Homens;5865;1974;;;3891;;;;;4207205
Mulheres;5807;2031;;;3776;;;;;4207205
Imbituba;40170;38962;1208;;;;;;;4207304
Homens;19805;19199;606;;;;;;;4207304
Mulheres;20365;19763;602;;;;;;;4207304
Jaguaruna;17290;8687;;4511;3761;331;;;;4208807
Homens;8625;4279;;2292;1887;167;;;;4208807
Mulheres;8665;4408;;2219;1874;164;;;;4208807
Laguna;51562;39777;878;;7019;687;3201;;;4209409
Homens;25305;19440;449;;3481;342;1593;;;4209409
Mulheres;26257;20337;429;;3538;345;1608;;;4209409
Orleans;21393;14532;1232;320;5309;;;;;4211702
Homens;10634;7122;612;146;2754;;;;;4211702
Mulheres;10759;7410;620;174;2555;;;;;4211702
Pedras Grandes;4107;1261;;;2424;;422;;;4212403
Homens;2098;616;;;1255;;227;;;4212403
Mulheres;2009;645;;;1169;;195;;;4212403
Rio Fortuna;4446;1523;;;2923;;;;;4214904
Homens;2294;747;;;1547;;;;;4214904
Mulheres;2152;776;;;1376;;;;;4214904
Sangão;10400;4603;;253;4364;;1180;;;4215455
Homens;5322;2297;;127;2286;;612;;;4215455
Mulheres;5078;2306;;126;2078;;568;;;4215455
Santa Rosa de Lima;2065;518;;;1547;;;;;4215604
Homens;1092;279;;;813;;;;;4215604
Mulheres;973;239;;;734;;;;;4215604
São Ludgero;10993;9863;;;1130;;;;;4217006
Homens;5625;5050;;;575;;;;;4217006
Mulheres;5368;4813;;;555;;;;;4217006
São Martinho;3209;992;;239;1978;;;;;4217105
Homens;1660;484;;126;1050;;;;;4217105
Mulheres;1549;508;;113;928;;;;;4217105
Treze de Maio;6876;2333;;1068;3475;;;;;4218400
Homens;3451;1130;;519;1802;;;;;4218400
Mulheres;3425;1203;;549;1673;;;;;4218400
Tubarão;97235;85380;2694;20;7396;1108;637;;;4218707
Homens;47114;41108;1320;9;3778;567;332;;;4218707
Mulheres;50121;44272;1374;11;3618;541;305;;;4218707
Vale do Itajaí  SC;689731;589056;25824;2722;69403;2066;660;;;19
Homens;341813;290442;12958;1372;35679;1032;330;;;19
Mulheres;347918;298614;12866;1350;33724;1034;330;;;19
Apiúna;9600;3614;674;;5312;;;;;4201257
Homens;4866;1741;356;;2769;;;;;4201257
Mulheres;4734;1873;318;;2543;;;;;4201257
Ascurra;7412;6457;;;955;;;;;4201703
Homens;3680;3183;;;497;;;;;4201703
Mulheres;3732;3274;;;458;;;;;4201703
Benedito Novo;10336;5140;;664;4532;;;;;4202206
Homens;5280;2572;;330;2378;;;;;4202206
Mulheres;5056;2568;;334;2154;;;;;4202206
Blumenau;309011;278770;16003;;12172;2066;;;;4202404
Homens;151542;136360;7986;;6164;1032;;;;4202404
Mulheres;157469;142410;8017;;6008;1034;;;;4202404
Botuverá;4468;1310;;;2976;;182;;;4202701
Homens;2278;639;;;1544;;95;;;4202701
Mulheres;2190;671;;;1432;;87;;;4202701
Brusque;105503;102025;;;3478;;;;;4202909
Homens;52400;50586;;;1814;;;;;4202909
Mulheres;53103;51439;;;1664;;;;;4202909
Doutor Pedrinho;3604;1332;;687;1585;;;;;4205159
Homens;1794;648;;333;813;;;;;4205159
Mulheres;1810;684;;354;772;;;;;4205159
Gaspar;57981;46738;388;;10855;;;;;4205902
Homens;28678;22976;209;;5493;;;;;4205902
Mulheres;29303;23762;179;;5362;;;;;4205902
Guabiruba;18430;17066;;;1364;;;;;4206306
Homens;9351;8648;;;703;;;;;4206306
Mulheres;9079;8418;;;661;;;;;4206306
Ilhota;12355;3655;3051;1192;3979;;478;;;4207106
Homens;6227;1849;1529;602;2012;;235;;;4207106
Mulheres;6128;1806;1522;590;1967;;243;;;4207106
Indaial;54854;49273;3654;;1927;;;;;4207502
Homens;27431;24611;1840;;980;;;;;4207502
Mulheres;27423;24662;1814;;947;;;;;4207502
Luiz Alves;10438;2306;950;;7182;;;;;4210001
Homens;5383;1181;482;;3720;;;;;4210001
Mulheres;5055;1125;468;;3462;;;;;4210001
Pomerode;27759;22999;824;;3936;;;;;4213203
Homens;13904;11481;407;;2016;;;;;4213203
Mulheres;13855;11518;417;;1920;;;;;4213203
Rio dos Cedros;10284;4931;;179;5174;;;;;4214706
Homens;5268;2449;;107;2712;;;;;4214706
Mulheres;5016;2482;;72;2462;;;;;4214706
Rodeio;10922;9211;213;;1498;;;;;4215109
Homens;5487;4591;112;;784;;;;;4215109
Mulheres;5435;4620;101;;714;;;;;4215109
Timbó;36774;34229;67;;2478;;;;;4218202
Homens;18244;16927;37;;1280;;;;;4218202
Mulheres;18530;17302;30;;1198;;;;;4218202
Porto Alegre  RS;3958985;3740684;92616;11725;100161;5758;7230;322;489;9
Homens;1899479;1785459;48423;5887;52698;2883;3685;190;254;9
Mulheres;2059506;1955225;44193;5838;47463;2875;3545;132;235;9
Alvorada;195673;195152;521;;;;;;;4300604
Homens;95080;94782;298;;;;;;;4300604
Mulheres;100593;100370;223;;;;;;;4300604
Araricá;4864;3996;;;868;;;;;4300877
Homens;2456;2011;;;445;;;;;4300877
Mulheres;2408;1985;;;423;;;;;4300877
Arroio dos Ratos;13606;12956;;;650;;;;;4301107
Homens;6635;6270;;;365;;;;;4301107
Mulheres;6971;6686;;;285;;;;;4301107
Cachoeirinha;118278;114159;4119;;;;;;;4303103
Homens;57173;55096;2077;;;;;;;4303103
Mulheres;61105;59063;2042;;;;;;;4303103
Campo Bom;60074;54197;3141;;2736;;;;;4303905
Homens;29471;26417;1595;;1459;;;;;4303905
Mulheres;30603;27780;1546;;1277;;;;;4303905
Canoas;323827;321347;2480;;;;;;;4304606
Homens;155936;154653;1283;;;;;;;4304606
Mulheres;167891;166694;1197;;;;;;;4304606
Capela de Santana;11612;6915;;;4697;;;;;4304689
Homens;5848;3421;;;2427;;;;;4304689
Mulheres;5764;3494;;;2270;;;;;4304689
Charqueadas;35320;28872;5618;;830;;;;;4305355
Homens;19533;14079;4903;;551;;;;;4305355
Mulheres;15787;14793;715;;279;;;;;4305355
Dois Irmãos;27572;27276;;;296;;;;;4306403
Homens;13653;13504;;;149;;;;;4306403
Mulheres;13919;13772;;;147;;;;;4306403
Eldorado do Sul;34343;30800;;;2691;852;;;;4306767
Homens;16999;15116;;;1462;421;;;;4306767
Mulheres;17344;15684;;;1229;431;;;;4306767
Estância Velha;42574;41484;;;815;275;;;;4307609
Homens;21035;20487;;;411;137;;;;4307609
Mulheres;21539;20997;;;404;138;;;;4307609
Esteio;80755;80643;;;112;;;;;4307708
Homens;38973;38910;;;63;;;;;4307708
Mulheres;41782;41733;;;49;;;;;4307708
Glorinha;6891;2065;;2;4824;;;;;4309050
Homens;3536;1015;;2;2519;;;;;4309050
Mulheres;3355;1050;;;2305;;;;;4309050
Gravataí;255660;223913;19584;;9956;479;1728;;;4309209
Homens;124880;108793;9739;;5215;260;873;;;4309209
Mulheres;130780;115120;9845;;4741;219;855;;;4309209
Guaíba;95204;89202;;3862;2140;;;;;4309308
Homens;46153;43071;;1909;1173;;;;;4309308
Mulheres;49051;46131;;1953;967;;;;;4309308
Ivoti;19874;18062;;;1812;;;;;4310801
Homens;9801;8845;;;956;;;;;4310801
Mulheres;10073;9217;;;856;;;;;4310801
Montenegro;59415;50513;3116;;5786;;;;;4312401
Homens;29245;24446;1610;;3189;;;;;4312401
Mulheres;30170;26067;1506;;2597;;;;;4312401
Nova Hartz;18346;15269;;;1629;1448;;;;4313060
Homens;9072;7544;;;840;688;;;;4313060
Mulheres;9274;7725;;;789;760;;;;4313060
Nova Santa Rita;22716;18306;922;247;3241;;;;;4313375
Homens;11441;9159;478;122;1682;;;;;4313375
Mulheres;11275;9147;444;125;1559;;;;;4313375
Novo Hamburgo;238940;231543;3255;;2148;;1994;;;4313409
Homens;115766;111983;1645;;1117;;1021;;;4313409
Mulheres;123174;119560;1610;;1031;;973;;;4313409
Parobé;51502;48633;;;2492;;377;;;4314050
Homens;25449;23982;;;1275;;192;;;4314050
Mulheres;26053;24651;;;1217;;185;;;4314050
Portão;30920;25276;;;5111;533;;;;4314803
Homens;15515;12577;;;2664;274;;;;4314803
Mulheres;15405;12699;;;2447;259;;;;4314803
Porto Alegre;1409351;1389997;19354;;;;;;;4314902
Homens;653787;644315;9472;;;;;;;4314902
Mulheres;755564;745682;9882;;;;;;;4314902
Santo Antônio da Patrulha;39685;20074;7420;620;11190;381;;;;4317608
Homens;19756;9690;3697;317;5861;191;;;;4317608
Mulheres;19929;10384;3723;303;5329;190;;;;4317608
São Jerônimo;22134;16578;;477;5079;;;;;4318408
Homens;11026;8041;;246;2739;;;;;4318408
Mulheres;11108;8537;;231;2340;;;;;4318408
São Leopoldo;214087;213238;;;483;;366;;;4318705
Homens;104242;103790;;;262;;190;;;4318705
Mulheres;109845;109448;;;221;;176;;;4318705
Sapiranga;74985;69644;;2642;2304;222;173;;;4319901
Homens;36989;34228;;1330;1228;118;85;;;4319901
Mulheres;37996;35416;;1312;1076;104;88;;;4319901
Sapucaia do Sul;130957;127543;2926;;488;;;;;4320008
Homens;63747;61977;1523;;247;;;;;4320008
Mulheres;67210;65566;1403;;241;;;;;4320008
Taquara;54643;45080;186;;8254;;1123;;;4321204
Homens;26866;21887;93;;4312;;574;;;4321204
Mulheres;27777;23193;93;;3942;;549;;;4321204
Triunfo;25793;12654;328;3875;8688;;248;;;4322004
Homens;12933;6198;169;1961;4477;;128;;;4322004
Mulheres;12860;6456;159;1914;4211;;120;;;4322004
Viamão;239384;205297;19646;;10841;1568;1221;322;489;4323002
Homens;116483;99172;9841;;5610;794;622;190;254;4323002
Mulheres;122901;106125;9805;;5231;774;599;132;235;4323002
Vale do Rio Cuiabá  MT;833766;792539;8381;;30607;;2239;;;5101
Homens;410602;388213;4143;;17053;;1193;;;5101
Mulheres;423164;404326;4238;;13554;;1046;;;5101
Cuiabá;551098;532433;8381;;8475;;1809;;;5103403
Homens;269204;259367;4143;;4721;;973;;;5103403
Mulheres;281894;273066;4238;;3754;;836;;;5103403
Nossa Senhora do Livramento;11609;4242;;;7367;;;;;5106109
Homens;6270;2127;;;4143;;;;;5106109
Mulheres;5339;2115;;;3224;;;;;5106109
Santo Antônio do Leverger;18463;7160;;;11003;;300;;;5107800
Homens;9861;3607;;;6107;;147;;;5107800
Mulheres;8602;3553;;;4896;;153;;;5107800
Várzea Grande;252596;248704;;;3762;;130;;;5108402
Homens;125267;123112;;;2082;;73;;;5108402
Mulheres;127329;125592;;;1680;;57;;;5108402
Goiânia  GO;2173141;2115090;6095;8889;35228;2266;5573;;;21
Homens;1053006;1022246;3145;4414;19220;1115;2866;;;21
Mulheres;1120135;1092844;2950;4475;16008;1151;2707;;;21
Abadia de Goiás;6876;5081;;;1238;229;328;;;5200050
Homens;3371;2408;;;675;116;172;;;5200050
Mulheres;3505;2673;;;563;113;156;;;5200050
Aparecida de Goiânia;455657;454932;261;;464;;;;;5201405
Homens;224798;224401;146;;251;;;;;5201405
Mulheres;230859;230531;115;;213;;;;;5201405
Aragoiânia;8365;5528;;;2296;;541;;;5201801
Homens;4265;2753;;;1243;;269;;;5201801
Mulheres;4100;2775;;;1053;;272;;;5201801
Bela Vista de Goiás;24554;17955;;;5410;;1189;;;5203302
Homens;12612;8956;;;3024;;632;;;5203302
Mulheres;11942;8999;;;2386;;557;;;5203302
Bonfinópolis;7536;7021;;;515;;;;;5203559
Homens;3777;3506;;;271;;;;;5203559
Mulheres;3759;3515;;;244;;;;;5203559
Brazabrantes;3232;2015;155;;471;;591;;;5203609
Homens;1646;1004;82;;259;;301;;;5203609
Mulheres;1586;1011;73;;212;;290;;;5203609
Caldazinha;3325;1918;;;1407;;;;;5204557
Homens;1689;931;;;758;;;;;5204557
Mulheres;1636;987;;;649;;;;;5204557
Caturaí;4686;3319;;345;1022;;;;;5205208
Homens;2398;1655;;186;557;;;;;5205208
Mulheres;2288;1664;;159;465;;;;;5205208
Goianápolis;10695;9143;548;;1004;;;;;5208400
Homens;5453;4637;278;;538;;;;;5208400
Mulheres;5242;4506;270;;466;;;;;5208400
Goiânia;1302001;1285722;2810;8544;3890;712;323;;;5208707
Homens;620857;612596;1447;4228;2089;334;163;;;5208707
Mulheres;681144;673126;1363;4316;1801;378;160;;;5208707
Goianira;34060;33451;;;609;;;;;5208806
Homens;17120;16787;;;333;;;;;5208806
Mulheres;16940;16664;;;276;;;;;5208806
Guapó;13976;11333;;;2071;;572;;;5209200
Homens;6970;5548;;;1122;;300;;;5209200
Mulheres;7006;5785;;;949;;272;;;5209200
Hidrolândia;17398;10470;;;4764;1325;839;;;5209705
Homens;8942;5263;;;2586;665;428;;;5209705
Mulheres;8456;5207;;;2178;660;411;;;5209705
Inhumas;48246;45103;;;2809;;334;;;5210000
Homens;23666;21951;;;1535;;180;;;5210000
Mulheres;24580;23152;;;1274;;154;;;5210000
Nerópolis;24210;22315;914;;981;;;;;5214507
Homens;11923;10941;455;;527;;;;;5214507
Mulheres;12287;11374;459;;454;;;;;5214507
Nova Veneza;8129;6874;152;;1103;;;;;5215009
Homens;4128;3473;75;;580;;;;;5215009
Mulheres;4001;3401;77;;523;;;;;5215009
Santo Antônio de Goiás;4703;4108;163;;432;;;;;5219738
Homens;2389;2066;78;;245;;;;;5219738
Mulheres;2314;2042;85;;187;;;;;5219738
Senador Canedo;84443;83187;924;;332;;;;;5220454
Homens;42211;41543;493;;175;;;;;5220454
Mulheres;42232;41644;431;;157;;;;;5220454
Terezópolis de Goiás;6561;5509;168;;565;;319;;;5221197
Homens;3346;2757;91;;333;;165;;;5221197
Mulheres;3215;2752;77;;232;;154;;;5221197
Trindade;104488;100106;;;3845;;537;;;5221403
Homens;51445;49070;;;2119;;256;;;5221403
Mulheres;53043;51036;;;1726;;281;;;5221403
RIDE Petrolina/Juazeiro;686410;478315;2848;;111852;4342;76428;617;12008;520
Homens;338450;230134;1420;;59745;2113;38551;316;6171;520
Mulheres;347960;248181;1428;;52107;2229;37877;301;5837;520
Lagoa Grande  PE;22760;10416;;;5940;;5039;;1365;2608750
Homens;11317;4967;;;3138;;2498;;714;2608750
Mulheres;11443;5449;;;2802;;2541;;651;2608750
Orocó  PE;13180;4617;;;4408;;;;4155;2609808
Homens;6571;2180;;;2312;;;;2079;2609808
Mulheres;6609;2437;;;2096;;;;2076;2609808
Petrolina  PE;293962;216367;2848;;26707;4342;40852;;2846;2611101
Homens;143252;103331;1420;;14250;2113;20631;;1507;2611101
Mulheres;150710;113036;1428;;12457;2229;20221;;1339;2611101
Santa Maria da Boa Vista  PE;39435;14876;;;18278;;2022;617;3642;2612604
Homens;19868;7011;;;9612;;1058;316;1871;2612604
Mulheres;19567;7865;;;8666;;964;301;1771;2612604
Casa Nova  BA;64940;37543;;;25766;;1631;;;2907202
Homens;33091;18559;;;13750;;782;;;2907202
Mulheres;31849;18984;;;12016;;849;;;2907202
Curaçá  BA;32168;13719;;;12963;;5486;;;2909901
Homens;16467;6554;;;7106;;2807;;;2909901
Mulheres;15701;7165;;;5857;;2679;;;2909901
Juazeiro  BA;197965;160775;;;16312;;20878;;;2918407
Homens;97085;77799;;;8778;;10508;;;2918407
Mulheres;100880;82976;;;7534;;10370;;;2918407
Sobradinho  BA;22000;20002;;;1478;;520;;;2930774
Homens;10799;9733;;;799;;267;;;2930774
Mulheres;11201;10269;;;679;;253;;;2930774
RIDE Grande Teresina;1150959;1001275;3544;;116297;1070;22824;376;5573;510
Homens;546781;469263;1742;;60747;544;11446;209;2830;510
Mulheres;604178;532012;1802;;55550;526;11378;167;2743;510
Timon  MA;155460;135133;;;17922;;1909;;496;2112209
Homens;75561;65025;;;9291;;978;;267;2112209
Mulheres;79899;70108;;;8631;;931;;229;2112209
Altos  PI;38822;27388;;;10079;;214;;1141;2200400
Homens;19116;13127;;;5322;;102;;565;2200400
Mulheres;19706;14261;;;4757;;112;;576;2200400
Beneditinos  PI;9911;6261;;;3650;;;;;2201606
Homens;5014;3052;;;1962;;;;;2201606
Mulheres;4897;3209;;;1688;;;;;2201606
Coivaras  PI;3811;1173;;;2638;;;;;2202737
Homens;1970;584;;;1386;;;;;2202737
Mulheres;1841;589;;;1252;;;;;2202737
Curralinhos  PI;4183;1331;;;2317;;535;;;2203255
Homens;2144;643;;;1219;;282;;;2203255
Mulheres;2039;688;;;1098;;253;;;2203255
Demerval Lobão  PI;13278;10873;;;2405;;;;;2203305
Homens;6477;5218;;;1259;;;;;2203305
Mulheres;6801;5655;;;1146;;;;;2203305
José de Freitas  PI;37085;21589;12;;14570;;756;;158;2205508
Homens;18522;10464;7;;7574;;399;;78;2205508
Mulheres;18563;11125;5;;6996;;357;;80;2205508
Lagoa Alegre  PI;8008;3042;;;4966;;;;;2205557
Homens;4124;1513;;;2611;;;;;2205557
Mulheres;3884;1529;;;2355;;;;;2205557
Lagoa do Piauí  PI;3863;1672;;;2191;;;;;2205581
Homens;1990;814;;;1176;;;;;2205581
Mulheres;1873;858;;;1015;;;;;2205581
Miguel Leão  PI;1253;862;;;391;;;;;2206308
Homens;657;448;;;209;;;;;2206308
Mulheres;596;414;;;182;;;;;2206308
Monsenhor Gil  PI;10333;5309;;;4091;;933;;;2206407
Homens;5105;2536;;;2082;;487;;;2206407
Mulheres;5228;2773;;;2009;;446;;;2206407
Nazária  PI;8068;1652;;;5187;;700;;529;2206720
Homens;4085;806;;;2641;;359;;279;2206720
Mulheres;3983;846;;;2546;;341;;250;2206720
Teresina  PI;814230;765951;1606;;27624;1070;14616;114;3249;2211001
Homens;380612;355840;767;;14484;544;7269;67;1641;2211001
Mulheres;433618;410111;839;;13140;526;7347;47;1608;2211001
União  PI;42654;19039;1926;;18266;;3161;262;;2211100
Homens;21404;9193;968;;9531;;1570;142;;2211100
Mulheres;21250;9846;958;;8735;;1591;120;;2211100
RIDE Distrito Federal e Entorno;3717728;3454711;30292;15071;155899;28171;30658;762;2164;530
Homens;1801936;1660689;15443;7501;87002;14284;15478;405;1134;530
Mulheres;1915792;1794022;14849;7570;68897;13887;15180;357;1030;530
Buritis  MG;22737;15972;128;;5876;;761;;;3109303
Homens;11552;7877;70;;3210;;395;;;3109303
Mulheres;11185;8095;58;;2666;;366;;;3109303
Unaí  MG;77565;59533;2796;;14506;568;162;;;3170404
Homens;39305;29338;1407;;8168;314;78;;;3170404
Mulheres;38260;30195;1389;;6338;254;84;;;3170404
Abadiânia  GO;15757;10778;;;4244;;735;;;5200100
Homens;8089;5275;;;2446;;368;;;5200100
Mulheres;7668;5503;;;1798;;367;;;5200100
Água Fria de Goiás  GO;5090;2137;;;2505;;448;;;5200175
Homens;2731;1095;;;1391;;245;;;5200175
Mulheres;2359;1042;;;1114;;203;;;5200175
Águas Lindas de Goiás  GO;159378;158748;390;;240;;;;;5200258
Homens;79726;79358;229;;139;;;;;5200258
Mulheres;79652;79390;161;;101;;;;;5200258
Alexânia  GO;23814;17545;2131;;3763;;375;;;5200308
Homens;12010;8649;1093;;2069;;199;;;5200308
Mulheres;11804;8896;1038;;1694;;176;;;5200308
Cabeceiras  GO;7354;5505;;;1435;;414;;;5204003
Homens;3778;2763;;;807;;208;;;5204003
Mulheres;3576;2742;;;628;;206;;;5204003
Cidade Ocidental  GO;55915;43654;;;1025;10511;725;;;5205497
Homens;27430;21182;;;557;5323;368;;;5205497
Mulheres;28485;22472;;;468;5188;357;;;5205497
Cocalzinho de Goiás  GO;17407;6444;;;4315;;6648;;;5205513
Homens;8952;3192;;;2439;;3321;;;5205513
Mulheres;8455;3252;;;1876;;3327;;;5205513
Corumbá de Goiás  GO;10361;6416;;;3721;;224;;;5205802
Homens;5415;3258;;;2038;;119;;;5205802
Mulheres;4946;3158;;;1683;;105;;;5205802
Cristalina  GO;46580;38375;46;;7279;166;714;;;5206206
Homens;23977;19541;22;;3980;79;355;;;5206206
Mulheres;22603;18834;24;;3299;87;359;;;5206206
Formosa  GO;100085;92023;;;7931;;;;131;5208004
Homens;49959;45385;;;4498;;;;76;5208004
Mulheres;50126;46638;;;3433;;;;55;5208004
Luziânia  GO;174531;162177;630;;9511;1444;769;;;5212501
Homens;87087;80346;338;;5246;770;387;;;5212501
Mulheres;87444;81831;292;;4265;674;382;;;5212501
Mimoso de Goiás  GO;2685;1242;;;1443;;;;;5213053
Homens;1427;632;;;795;;;;;5213053
Mulheres;1258;610;;;648;;;;;5213053
Novo Gama  GO;95018;91786;2185;;1047;;;;;5215231
Homens;46672;44956;1118;;598;;;;;5215231
Mulheres;48346;46830;1067;;449;;;;;5215231
Padre Bernardo  GO;27671;10786;;;6093;10792;;;;5215603
Homens;13992;5269;;;3248;5475;;;;5215603
Mulheres;13679;5517;;;2845;5317;;;;5215603
Pirenópolis  GO;23006;15563;;;5416;;2027;;;5217302
Homens;11797;7750;;;3016;;1031;;;5217302
Mulheres;11209;7813;;;2400;;996;;;5217302
Planaltina  GO;81649;75768;1814;;4067;;;;;5217609
Homens;40574;37342;921;;2311;;;;;5217609
Mulheres;41075;38426;893;;1756;;;;;5217609
Santo Antônio do Descoberto  GO;63248;56471;337;;3817;2215;408;;;5219753
Homens;31371;27771;180;;2130;1109;181;;;5219753
Mulheres;31877;28700;157;;1687;1106;227;;;5219753
Valparaíso de Goiás  GO;132982;130620;2362;;;;;;;5221858
Homens;64624;63422;1202;;;;;;;5221858
Mulheres;68358;67198;1160;;;;;;;5221858
Vila Boa  GO;4735;3502;;;994;;;239;;5222203
Homens;2588;1875;;;586;;;127;;5222203
Mulheres;2147;1627;;;408;;;112;;5222203
Brasília  DF;2570160;2449666;17473;15071;66671;2475;16248;523;2033;5300108
Homens;1228880;1164413;8863;7501;37330;1214;8223;278;1058;5300108
Mulheres;1341280;1285253;8610;7570;29341;1261;8025;245;975;5300108
