IBGE2;Município;Transf_Correntes;Transf_Capital;Receita_Total
 910;BUENO BRANDÃO;  20518306;  530080,24;  21048386
 920;BUENÓPOLIS;  22754373;  959325,00;  23713698
 925;BUGRE;  13234301; 1250434,40;  14484735
 930;BURITIS;  55476141;  716718,63;  56192860
 940;BURITIZEIRO;  47142812;  451796,86;  47594609
 945;CABECEIRA GRANDE;  22886181;  560266,98;  23446448
 950;CABO VERDE;  25906788; 1379470,00;  27286258
 960;CACHOEIRA DA PRATA;  11822307;   83564,80;  11905871
 970;CACHOEIRA DE MINAS;  23402811;  725500,00;  24128311
 270;CACHOEIRA DE PAJEÚ;  19327233; 1318672,36;  20645905
 980;CACHOEIRA DOURADA;  26361180;  552345,00;  26913525
 990;CAETANÓPOLIS;  21729076;  291166,81;  22020243
1000;CAETÉ;  55038648; 1708648,32;  56747296
1010;CAIANA;  14257490;  453038,05;  14710528
1020;CAJURI;  14837624;  100000,00;  14937624
1030;CALDAS;  24342252;  172404,76;  24514656
1040;CAMACHO;  12766471;       0,00;  12766471
1050;CAMANDUCAIA;  42475527; 1726929,36;  44202456
1060;CAMBUÍ;  43690931; 5508949,74;  49199881
1070;CAMBUQUIRA;  23118236; 1191250,00;  24309486
1080;CAMPANÁRIO;  13688030;  210000,00;  13898030
1090;CAMPANHA;  29829860; 2060345,66;  31890205
1100;CAMPESTRE;  36724316;  436000,00;  37160316
1110;CAMPINA VERDE;  34152418;  880203,83;  35032622
1115;CAMPO AZUL;  13687341;  535870,00;  14223211
1120;CAMPO BELO;  96458047;  561607,50;  97019654
1130;CAMPO DO MEIO;  23512826;  677832,72;  24190659
1140;CAMPO FLORIDO;  30652577;  684214,93;  31336792
1150;CAMPOS ALTOS;  33668586;  396420,00;  34065006
1160;CAMPOS GERAIS;  43487953; 1115080,00;  44603033
1190;CANA VERDE;  15019323;  741197,50;  15760521
1170;CANAÃ;  14223721;  259923,34;  14483644
1180;CANÁPOLIS;  29775106;  322753,60;  30097860
1200;CANDEIAS;  29551115;  175500,00;  29726615
1205;CANTAGALO;  13828493;  182323,72;  14010817
1210;CAPARAÓ;  15439179;  854953,26;  16294132
1220;CAPELA NOVA;  12938193;  579757,09;  13517951
1230;CAPELINHA;  53226801; 4484571,81;  57711372
1240;CAPETINGA;  16295626;  269380,25;  16565007
1250;CAPIM BRANCO;  17560669;  645626,83;  18206296
1260;CAPINÓPOLIS;  36734978;  693795,00;  37428773
1265;CAPITÃO ANDRADE;  15209171; 1579425,00;  16788596
1270;CAPITÃO ENÉAS;  33506693; 4379509,35;  37886202
1280;CAPITÓLIO;  20687025; 1946241,26;  22633267
1290;CAPUTIRA;  17876593;  835560,84;  18712153
1300;CARAÍ;  38312962;  714780,75;  39027742
1310;CARANAÍBA;  14158412;       0,00;  14158412
1320;CARANDAÍ;  51236563; 1608307,90;  52844871
1330;CARANGOLA;NA;NA;         0
1340;CARATINGA; 118751521;  103776,00; 118855297
1350;CARBONITA;  19667015; 2341407,44;  22008422
1360;CAREAÇU;  17234425;       0,00;  17234425
1370;CARLOS CHAGAS;  41434993;  367562,74;  41802556
1380;CARMÉSIA;  14514800;  224584,91;  14739385
1390;CARMO DA CACHOEIRA;  22163792;  360961,56;  22524753
1400;CARMO DA MATA;  23456027; 1227839,61;  24683866
1410;CARMO DE MINAS;  28122598; 2143503,83;  30266102
1420;CARMO DO CAJURU;  37168623; 2057539,07;  39226162
1430;CARMO DO PARANAÍBA;  52778274; 1695510,00;  54473784
1440;CARMO DO RIO CLARO;  42774240;  348243,24;  43122484
1450;CARMÓPOLIS DE MINAS;  35663332; 1726618,32;  37389950
1455;CARNEIRINHO;  44305537;  885570,00;  45191107
1460;CARRANCAS;  14733926; 1296753,08;  16030679
1470;CARVALHÓPOLIS;  14212310;  966755,63;  15179066
1480;CARVALHOS;  13043306;  252097,60;  13295403
1490;CASA GRANDE;  12412627;  799854,00;  13212481
1500;CASCALHO RICO;  16069581;  335000,00;  16404581
1510;CÁSSIA;  36535247; 1634267,28;  38169515
1530;CATAGUASES; 110408654; 4274706,09; 114683360
1535;CATAS ALTAS;  26399887;  127499,40;  26527386
1540;CATAS ALTAS DA NORUEGA;  10601441;  107429,93;  10708871
1545;CATUJI;  18390255; 1553625,49;  19943880
1547;CATUTI;  14939380; 1361722,42;  16301102
1550;CAXAMBU;  33748957; 1051731,37;  34800688
1560;CEDRO DO ABAETÉ;  11765046;  242070,63;  12007117
1570;CENTRAL DE MINAS;  16633237;    1175,71;  16634413
1580;CENTRALINA;  19443443; 2288915,18;  21732358
1590;CHÁCARA;  13435243;  460352,34;  13895595
1600;CHALÉ;  15062315;       0,00;  15062315
1610;CHAPADA DO NORTE;  28434473; 1821833,76;  30256306
1615;CHAPADA GAÚCHA;  29149669; 3650160,01;  32799829
1620;CHIADOR;  12964431;       0,00;  12964431
1630;CIPOTÂNEA;  13445098;  629666,59;  14074764
1640;CLARAVAL;  15727888;  508740,00;  16236628
1650;CLARO DOS POÇÕES;  16494901; 1421757,03;  17916658
1660;CLÁUDIO;  51656159; 1202168,57;  52858327
1670;COIMBRA;  16990774;  106007,37;  17096781
1680;COLUNA;  16752373;  380000,00;  17132373
1690;COMENDADOR GOMES;  16302505;  602953,43;  16905459
1700;COMERCINHO;  17961938;  255652,01;  18217590
1710;CONCEIÇÃO DA APARECIDA;  23531306;  387625,00;  23918931
1520;CONCEIÇÃO DA BARRA DE MINAS;  13299083;  214500,00;  13513583
1730;CONCEIÇÃO DAS ALAGOAS;  59139522; 1638248,23;  60777770
1720;CONCEIÇÃO DAS PEDRAS;  12210775;  259968,97;  12470744
1740;CONCEIÇÃO DE IPANEMA;  13714407;       0,00;  13714407
1750;CONCEIÇÃO DO MATO DENTRO;  64478152;10043801,77;  74521954
1760;CONCEIÇÃO DO PARÁ;  18514871;  612216,31;  19127088
1770;CONCEIÇÃO DO RIO VERDE;  25456321;  729492,35;  26185813
1780;CONCEIÇÃO DOS OUROS;  23451598;  127439,50;  23579037
1783;CÔNEGO MARINHO;  16563229;  441635,77;  17004865
1787;CONFINS;  18800580;   76648,77;  18877229
1790;CONGONHAL;  21486912;  515923,40;  22002836
1800;CONGONHAS; 250313344; 8577837,37; 258891181
1810;CONGONHAS DO NORTE;  13107471;  850855,14;  13958326
1820;CONQUISTA;  24312915;  642680,00;  24955595
1830;CONSELHEIRO LAFAIETE; 168104906; 3194128,12; 171299034
1840;CONSELHEIRO PENA;  37048411;  777865,76;  37826277
1850;CONSOLAÇÃO;  11748572;   97500,00;  11846072
1860;CONTAGEM; 856367704;26695993,07; 883063697
1870;COQUEIRAL;  18476772;  897500,40;  19374272
1880;CORAÇÃO DE JESUS;  41395458;  604475,31;  41999933
1890;CORDISBURGO;  15452684;  378370,25;  15831054
1900;CORDISLÂNDIA;  12703783;  100000,00;  12803783
1910;CORINTO;  41465440;  924246,18;  42389686
1920;COROACI;  25275169;       0,00;  25275169
1930;COROMANDEL;  50790003; 3336319,16;  54126323
1940;CORONEL FABRICIANO; 126418240; 4295697,97; 130713938
1950;CORONEL MURTA;  20260623;  280260,64;  20540884
1960;CORONEL PACHECO;  13064675;       0,00;  13064675
1970;CORONEL XAVIER CHAVES;  13126811;  587725,00;  13714536
1980;CÓRREGO DANTA;  13462972; 1138125,00;  14601097
1990;CÓRREGO DO BOM JESUS;  12270141;  130000,00;  12400141
1995;CÓRREGO FUNDO;  19138416;  872445,00;  20010861
2000;CÓRREGO NOVO;  13142389; 1951265,61;  15093654
2010;COUTO DE MAGALHÃES DE MINAS;  14299523;  438600,00;  14738123
2015;CRISÓLITA;  15014735;       0,00;  15014735
2020;CRISTAIS;  25202770;   15000,00;  25217770
2030;CRISTÁLIA;  16759096;       0,00;  16759096
2040;CRISTIANO OTONI;  16256500;       0,00;  16256500
2050;CRISTINA;  21954607; 1758995,00;  23713602
2060;CRUCILÂNDIA;  14301320;  491627,81;  14792948
2070;CRUZEIRO DA FORTALEZA;  16947897;  191792,80;  17139690
2080;CRUZÍLIA;  29944168;  947921,00;  30892089
2083;CUPARAQUE;  15301408; 3628052,69;  18929461
2087;CURRAL DE DENTRO;  17123051; 1463373,75;  18586425
2090;CURVELO; 129658824; 1412530,80; 131071355
2100;DATAS;  15204747; 1027008,41;  16231755
2110;DELFIM MOREIRA;  16815817;  945199,04;  17761016
2120;DELFINÓPOLIS;  22398651;  360375,58;  22759026
2125;DELTA;  27402364;  326988,00;  27729352
2130;DESCOBERTO;  14001535;  709621,95;  14711157
2140;DESTERRO DE ENTRE RIOS;  14878957;  501495,00;  15380452
2150;DESTERRO DO MELO;  14752821;  351901,50;  15104722
2160;DIAMANTINA;  73581276; 1824329,62;  75405605
2170;DIOGO DE VASCONCELOS;  13493958; 1910749,21;  15404707
2180;DIONÍSIO;  16272018; 1136254,25;  17408272
2190;DIVINÉSIA;  14080409;  876987,45;  14957397
2200;DIVINO;  33719850; 2237093,67;  35956944
2210;DIVINO DAS LARANJEIRAS;  15748823;       0,00;  15748823
2220;DIVINOLÂNDIA DE MINAS;  16245767;  766821,29;  17012588
2230;DIVINÓPOLIS; 348778419; 7103067,23; 355881487
2235;DIVISA ALEGRE;  17989296; 1653419,22;  19642715
2240;DIVISA NOVA;  15344429;  513960,00;  15858389
2245;DIVISÓPOLIS;  20093868;  422959,99;  20516828
2247;DOM BOSCO;  11182911;  433433,58;  11616345
2250;DOM CAVATI;  14292320;  400000,00;  14692320
2260;DOM JOAQUIM;  14920018; 1909293,28;  16829312
2270;DOM SILVÉRIO;  15232955;  558602,92;  15791558
2280;DOM VIÇOSO;  12214378;  590750,31;  12805128
2290;DONA EUZÉBIA;  13719518;  471423,07;  14190941
2300;DORES DE CAMPOS;  18566424; 1154721,18;  19721145
2310;DORES DE GUANHÃES;  17882008;  330000,00;  18212008
2320;DORES DO INDAIÁ;  28966448; 1655055,40;  30621503
2330;DORES DO TURVO;  13692145; 1394713,76;  15086859
2340;DORESÓPOLIS;  12453362;  111607,54;  12564969
2350;DOURADOQUARA;  13969113;  135000,00;  14104113
2352;DURANDÉ;  16284911;  481810,46;  16766722
2360;ELÓI MENDES;  39422528;  538882,60;  39961411
2370;ENGENHEIRO CALDAS;  23843419;  752280,57;  24595700
2380;ENGENHEIRO NAVARRO;  16953931;  121650,00;  17075581
2385;ENTRE FOLHAS;  14207550;  280073,05;  14487623
2390;ENTRE RIOS DE MINAS;  22176030;   25500,00;  22201530
2400;ERVÁLIA;  36291730; 1382229,76;  37673960
2410;ESMERALDAS;  92348154; 3017905,00;  95366059
2420;ESPERA FELIZ;  43220086;  790856,90;  44010943
2430;ESPINOSA;  48617120;  868817,32;  49485938
2440;ESPÍRITO SANTO DO DOURADO;  13908188;       0,00;  13908188
2450;ESTIVA;  22442453; 1357750,00;  23800203
2460;ESTRELA DALVA;  12042519;       0,00;  12042519
2470;ESTRELA DO INDAIÁ;  12924417;  300000,00;  13224417
2480;ESTRELA DO SUL;  28369227;  120000,00;  28489227
2490;EUGENÓPOLIS;  22803482;  756073,87;  23559555
2500;EWBANK DA CÂMARA;  12876354; 1035660,68;  13912015
2510;EXTREMA; 166875697; 1130001,61; 168005699
2520;FAMA;  11938733;  208845,82;  12147579
2530;FARIA LEMOS;  12393491;  670529,39;  13064021
2540;FELÍCIO DOS SANTOS;  16008796;  522228,48;  16531025
2560;FELISBURGO;  17128719;  250000,00;  17378719
2570;FELIXLÂNDIA;  31849524;  160245,80;  32009770
2580;FERNANDES TOURINHO;  12772596;  445686,15;  13218282
2590;FERROS;  21961221; 3148614,85;  25109836
2595;FERVEDOURO;  21988478;  528868,94;  22517347
2600;FLORESTAL;  12285985;   69971,50;  12355956
2610;FORMIGA;  89145957; 3763540,23;  92909498
2620;FORMOSO;  21575860; 1259790,18;  22835650
2630;FORTALEZA DE MINAS;  14051927;  326680,00;  14378607
